doc_id	date	source_url	sha256
20260828	2026-08-28	https://www.cbsl.gov.lk/en/statistics/statistical-tables/real-sector/prices-wages-employment	fd9b94d527f62f4ab6493a6cc022c70c97cad009bdf8333f429d5063c2a861ed
20260821	2026-08-21	https://www.cbsl.gov.lk/en/statistics/statistical-tables/real-sector/prices-wages-employment	4b8399592ed55c26091ffb82995ec108c0579168eabce8dae73a376095b61f4d
20260731	2026-07-31	https://www.cbsl.gov.lk/en/statistics/statistical-tables/real-sector/prices-wages-employment	25766e56a5adfc85c09f3c98b2ed025aa281c7506289e55cccd01f00219bf62b
