doc_id	date	source_url	sha256
20260825	2026-08-25	https://www.forbestea.com/pdf/Weekly Tea Auction Quantities & Averages 2026_1788340312.pdf	72d347a253fb1df48b71091431f595df5501f2e7dec1d6f25e7fce411b4ef7f6
20260805	2026-08-05	https://www.forbestea.com/pdf/Weekly Tea Auction Quantities & Averages 2026.pdf	c532996c29fdb4b7e7326584b8ec6bad26f5eacc98464eeeaa9e5cb01ecf4315
20260708	2026-07-08	https://www.forbestea.com/pdf/Weekly Tea Auction Quantities & Averages 2026.pdf	bd9cd36b90475ded570424ee7cbafb9dbf19c7e7db36c248370cf9951a178c5c
