doc_id	date	source_url	sha256
20260731	2026-07-31	https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/wei/WEI_20260731_e.pdf	1b9c8fbd33f920078b5cd5973e78467fb57c76f39df6e211ba5eec7ba8638ae5
20260724	2026-07-24	https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/wei/WEI_20260724_e.pdf	26439fcb440685f4989cfd52c74864fee9d457df240b476c1742c4871079e02e
20260717	2026-07-17	https://www.cbsl.gov.lk/sites/default/files/cbslweb_documents/statistics/wei/WEI_20260717_e.pdf	1f584299e90f7467d878409125977d8fbed1c98a076f1aeea951143d58b7c163
